customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,payment_method,support_calls,late_payments,online_security,tech_support,streaming_service,senior_citizen,family_members,churn
C100078,23,Female,7,One year,119.58,2740.15,Fiber optic,Bank transfer,1,2,No,No,No,0,1,0
C100079,71,Male,7,Month-to-month,60.22,1030.23,DSL,Mailed check,2,0,Yes,No,Yes,0,2,0
C100080,59,Male,50,Month-to-month,126.97,2810.76,Fiber optic,Mailed check,3,0,No,Yes,Yes,1,5,1
C100081,21,Female,2,One year,43.76,8748.83,Fiber optic,Electronic check,2,1,No,Yes,No,0,1,1
C100082,71,Male,47,Month-to-month,36.17,8669.42,Fiber optic,Bank transfer,3,2,No,Yes,No,1,5,0
C100083,46,Male,14,One year,25.84,6867.44,No,Mailed check,2,1,No,Yes,Yes,0,5,0
C100084,35,Female,31,Two year,142.11,4737.33,No,Mailed check,1,1,No,No,No,1,2,0
C100085,43,Male,50,Month-to-month,60.04,7048.94,Fiber optic,Bank transfer,1,1,No,Yes,No,0,1,0
C100086,61,Female,61,Month-to-month,139.29,5026.03,No,Credit card,1,0,Yes,No,No,0,5,0
C100087,51,Male,41,Month-to-month,55.44,131.23,DSL,Bank transfer,1,1,No,Yes,No,0,5,0
C100088,27,Male,14,Month-to-month,137.98,4563.77,Fiber optic,Bank transfer,1,1,No,Yes,No,0,1,1
C100089,53,Male,5,Month-to-month,137.51,5430.42,DSL,Bank transfer,2,0,No,No,No,0,5,1
C100090,31,Female,5,Month-to-month,140.08,2465.16,DSL,Credit card,3,1,No,No,No,0,2,0
C100091,48,Female,64,Month-to-month,84.5,1909.31,Fiber optic,Bank transfer,3,0,Yes,No,Yes,0,5,0
C100092,65,Female,29,Month-to-month,132.57,2536.9,No,Credit card,5,0,No,No,No,0,2,0
C100093,32,Female,5,One year,143.6,5650.29,Fiber optic,Mailed check,1,0,Yes,Yes,Yes,0,4,0
C100094,25,Male,36,Two year,62.2,1399.97,Fiber optic,Mailed check,3,1,Yes,No,No,1,5,0
C100095,31,Female,19,One year,74.45,6510.92,Fiber optic,Credit card,2,2,Yes,No,Yes,0,4,0
C100096,40,Female,64,Month-to-month,113.5,3861.81,Fiber optic,Electronic check,2,2,No,Yes,No,1,1,0
C100097,74,Female,22,Month-to-month,59.05,3244.8,Fiber optic,Bank transfer,3,2,Yes,No,Yes,0,4,0
C100098,57,Male,34,One year,118.0,7284.36,DSL,Mailed check,0,0,No,No,Yes,0,5,0
C100099,38,Male,56,Month-to-month,29.61,4603.96,No,Mailed check,6,0,Yes,Yes,No,0,3,0
C100100,33,Female,17,Month-to-month,88.05,3467.76,DSL,Credit card,0,0,Yes,No,No,1,1,0
C100101,62,Female,56,Two year,35.9,7915.58,No,Electronic check,0,1,No,No,No,0,1,0
C100102,35,Male,17,Month-to-month,58.13,3377.44,DSL,Electronic check,2,4,No,Yes,No,0,3,1
C100103,64,Female,18,Month-to-month,53.62,7745.1,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,3,1
C100104,70,Female,45,Two year,129.06,4587.37,No,Credit card,4,2,Yes,Yes,Yes,0,2,0
C100105,41,Female,56,Two year,45.16,1951.26,Fiber optic,Credit card,3,0,No,No,No,0,3,0
C100106,43,Female,50,Month-to-month,125.1,5554.08,Fiber optic,Bank transfer,1,0,Yes,Yes,Yes,0,4,1
C100107,42,Male,58,Month-to-month,123.21,2639.38,Fiber optic,Mailed check,3,2,Yes,Yes,Yes,0,3,0
C100108,62,Male,18,One year,84.85,1409.68,DSL,Mailed check,2,1,No,No,No,0,4,0
C100109,58,Male,7,One year,50.4,870.11,DSL,Credit card,1,2,No,No,Yes,0,5,0
C100110,46,Female,10,Month-to-month,49.5,2251.11,DSL,Mailed check,2,2,Yes,No,No,0,1,1
C100111,32,Female,69,One year,80.44,,DSL,Bank transfer,2,2,No,Yes,Yes,1,2,0
C100112,62,Male,3,Two year,21.15,7558.19,No,Credit card,2,0,No,Yes,No,0,2,0
C100113,18,Male,44,Month-to-month,89.08,7769.32,No,Mailed check,1,0,No,No,No,0,1,1
C100114,42,Male,70,Two year,143.86,2504.32,DSL,Electronic check,1,1,Yes,Yes,Yes,0,1,0
C100115,24,Female,14,Two year,40.11,5982.66,Fiber optic,Credit card,3,3,Yes,No,Yes,0,3,0
C100116,26,Male,4,Month-to-month,94.53,2150.15,DSL,Mailed check,5,2,No,Yes,No,0,1,1
C100117,41,Female,18,One year,145.03,,DSL,Mailed check,0,0,No,No,No,0,1,0
C100118,18,Female,52,Month-to-month,131.87,,Fiber optic,Bank transfer,5,1,No,Yes,No,0,1,1
C100119,61,Male,38,One year,130.55,463.95,DSL,Bank transfer,4,1,No,No,No,0,4,0
C100120,25,Male,20,One year,126.84,8868.51,DSL,Electronic check,2,1,No,No,Yes,0,4,0
C100121,41,Female,44,Month-to-month,60.17,7461.08,Fiber optic,Electronic check,3,0,No,Yes,No,1,5,0
C100122,28,Male,51,One year,135.78,6878.79,No,Electronic check,0,1,Yes,Yes,No,0,3,0
C100123,68,Male,19,Two year,142.37,6253.13,Fiber optic,Bank transfer,2,1,No,No,No,0,5,1
C100124,34,Female,68,Month-to-month,84.45,6955.44,DSL,Mailed check,1,2,No,Yes,No,0,3,0
C100125,25,Female,66,Month-to-month,66.09,8951.9,Fiber optic,Credit card,0,0,No,Yes,No,0,5,1
C100126,52,Female,13,Month-to-month,73.85,6954.7,Fiber optic,Credit card,0,0,Yes,No,Yes,0,2,0
C100127,52,Female,62,One year,63.45,3229.25,Fiber optic,Bank transfer,1,1,Yes,No,Yes,0,2,0
C100128,50,Female,61,Two year,47.61,5563.9,No,Bank transfer,1,4,No,No,No,0,4,0
C100129,22,Male,30,Two year,100.4,3098.61,No,Bank transfer,2,0,No,No,No,1,2,0
C100130,59,Female,30,Month-to-month,93.14,8733.58,No,Bank transfer,4,0,Yes,No,No,0,4,0
C100131,56,Female,51,Month-to-month,80.14,8111.24,Fiber optic,Credit card,3,1,No,Yes,No,1,2,0
C100132,75,Female,48,Month-to-month,32.46,5151.82,Fiber optic,Electronic check,1,0,Yes,Yes,No,0,1,0
C100133,58,Male,33,Month-to-month,123.6,7053.34,Fiber optic,Credit card,3,0,Yes,Yes,Yes,0,5,0
C100134,45,Female,19,Month-to-month,42.74,8196.21,Fiber optic,Bank transfer,1,4,No,No,No,0,2,1
C100135,24,Female,71,Month-to-month,34.89,2268.04,DSL,Electronic check,0,1,Yes,No,Yes,0,3,0
C100136,26,Female,57,Month-to-month,101.0,5257.39,Fiber optic,Credit card,3,1,No,Yes,Yes,0,5,1
C100137,25,Male,19,Two year,71.82,4387.28,DSL,Bank transfer,2,5,No,No,No,0,5,0
C100138,29,Female,41,One year,27.78,6967.16,No,Bank transfer,3,2,Yes,No,Yes,0,5,0
C100139,51,Female,42,One year,66.22,3473.83,DSL,Mailed check,5,1,No,Yes,No,0,1,0
C100140,50,Female,52,Month-to-month,120.33,6409.92,Fiber optic,Mailed check,3,1,Yes,No,No,0,5,1
C100141,65,Male,4,Two year,99.98,3686.64,Fiber optic,Bank transfer,3,0,Yes,No,Yes,0,4,1
C100142,72,Male,4,One year,67.16,1088.57,Fiber optic,Credit card,0,2,,Yes,Yes,0,1,1
C100143,40,Male,5,Two year,,1053.38,DSL,Mailed check,3,0,Yes,Yes,Yes,0,4,0
C100144,41,Male,41,Month-to-month,102.13,1159.6,Fiber optic,Credit card,2,2,No,No,Yes,0,3,0
C100145,54,Female,61,Month-to-month,135.38,389.43,DSL,Credit card,3,1,No,Yes,No,0,2,1
C100146,52,Female,55,Month-to-month,104.02,4843.46,Fiber optic,Mailed check,2,0,No,No,No,0,1,0
C100147,61,Male,13,Month-to-month,125.68,6079.93,DSL,Bank transfer,1,2,No,Yes,No,1,3,0
C100148,57,Male,14,One year,87.8,1227.88,Fiber optic,Mailed check,2,3,Yes,No,No,0,4,0
C100149,39,Female,60,Two year,113.34,5545.54,Fiber optic,Credit card,1,0,No,No,No,0,5,0
C100150,44,Female,72,Month-to-month,136.51,5419.89,Fiber optic,Electronic check,2,0,Yes,No,No,0,1,0
C100151,52,Male,25,Month-to-month,120.51,1409.14,DSL,Mailed check,3,0,Yes,Yes,No,0,2,0
C100152,18,Male,44,One year,138.28,3696.34,Fiber optic,Electronic check,6,1,No,No,No,0,5,1
C100153,52,Male,10,Month-to-month,76.05,6820.71,No,Bank transfer,1,0,Yes,No,No,0,2,0
C100154,54,Male,71,One year,137.55,249.13,Fiber optic,Mailed check,3,0,Yes,Yes,Yes,0,2,0
C100155,64,Female,50,One year,100.8,1407.84,DSL,Electronic check,3,0,Yes,No,Yes,1,4,0
C100156,31,Male,44,Month-to-month,133.11,8962.87,DSL,Bank transfer,5,0,Yes,No,No,0,5,0
C100157,20,Male,14,Two year,25.12,6628.55,Fiber optic,Credit card,4,3,No,Yes,No,0,4,0
C100158,18,Female,15,Month-to-month,105.52,4230.76,DSL,Bank transfer,0,4,Yes,Yes,No,0,1,0
C100159,22,Female,16,Two year,130.24,5705.23,Fiber optic,,1,2,No,Yes,Yes,0,1,0
C100160,43,Female,2,One year,42.65,7631.37,Fiber optic,Credit card,4,0,Yes,Yes,No,0,3,0
C100161,72,Female,30,Two year,106.03,7596.51,DSL,Bank transfer,3,0,Yes,Yes,Yes,0,4,0
C100162,31,Female,30,Month-to-month,127.24,2989.84,Fiber optic,Mailed check,7,1,No,Yes,No,0,4,1
C100163,56,Male,31,Month-to-month,57.43,4472.49,Fiber optic,Bank transfer,0,1,No,No,No,0,5,0
C100164,44,Male,20,Month-to-month,72.68,5778.69,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,1,1
C100165,26,Male,49,Month-to-month,94.04,739.88,DSL,Bank transfer,0,1,Yes,Yes,No,1,3,1
C100166,32,Female,35,Two year,87.49,8517.59,Fiber optic,Electronic check,0,2,No,Yes,Yes,0,1,0
C100167,32,Male,23,Month-to-month,,3951.4,DSL,Bank transfer,1,1,No,No,Yes,0,4,0
C100168,43,Female,61,Two year,32.83,3400.67,Fiber optic,Mailed check,1,3,Yes,Yes,No,1,3,0
C100169,59,Male,55,Month-to-month,33.06,8173.19,No,Credit card,5,4,Yes,Yes,No,0,2,0
C100170,30,Male,67,Month-to-month,54.09,1152.75,No,Credit card,4,0,No,No,Yes,0,1,0
C100171,68,Female,8,Two year,51.96,449.42,Fiber optic,Electronic check,3,1,Yes,Yes,No,0,4,0
C100172,49,Female,40,Month-to-month,116.49,6196.52,Fiber optic,Bank transfer,1,0,No,Yes,No,1,4,1
C100173,56,Male,59,One year,94.46,3526.53,No,Bank transfer,1,1,No,Yes,No,1,3,0
C100174,66,Male,32,Month-to-month,119.32,6903.83,DSL,Mailed check,2,3,Yes,No,Yes,1,4,1
C100175,69,Male,7,Two year,,710.05,DSL,Bank transfer,3,1,No,Yes,Yes,0,3,0
C100176,49,Male,2,One year,,3515.44,Fiber optic,,2,1,Yes,No,Yes,0,3,1
C100177,21,Male,6,One year,62.09,2194.39,No,Electronic check,1,0,Yes,Yes,Yes,0,5,0
C100178,47,Female,36,Month-to-month,130.49,6682.5,Fiber optic,Mailed check,1,2,Yes,No,No,0,1,1
C100179,54,Female,32,Month-to-month,112.01,2121.81,Fiber optic,Electronic check,1,3,,No,Yes,0,3,1
C100180,40,Female,45,Two year,133.0,4175.71,Fiber optic,Electronic check,2,1,No,,Yes,0,4,1
C100181,56,Female,42,Two year,26.04,7388.01,Fiber optic,Mailed check,2,0,No,No,Yes,0,2,0
C100182,62,Male,53,Month-to-month,113.71,8246.98,DSL,Electronic check,4,1,Yes,Yes,Yes,0,5,0
C100183,32,Male,9,Month-to-month,90.2,6531.19,Fiber optic,Electronic check,1,0,Yes,Yes,No,1,3,0
C100184,60,Female,49,Month-to-month,127.25,3920.13,Fiber optic,Credit card,2,0,Yes,Yes,No,0,1,0
C100185,46,Male,2,Month-to-month,85.93,5190.67,Fiber optic,Mailed check,3,0,Yes,Yes,Yes,0,5,0
C100186,53,Female,67,One year,90.23,6238.24,Fiber optic,Credit card,5,1,No,Yes,Yes,0,3,1
C100187,30,Male,11,Month-to-month,26.73,7886.9,Fiber optic,Bank transfer,3,2,No,No,No,0,2,0
C100188,49,Male,50,Month-to-month,106.91,8008.31,No,Mailed check,2,1,No,Yes,Yes,0,5,0
C100189,24,Male,35,One year,55.51,8385.63,Fiber optic,Bank transfer,2,0,No,Yes,No,0,1,0
C100190,68,Female,15,Month-to-month,22.56,7315.33,Fiber optic,,4,2,Yes,No,No,0,2,0
C100191,39,Female,31,One year,28.64,1406.5,Fiber optic,Credit card,1,2,No,Yes,Yes,1,4,0
C100192,45,Female,62,Two year,144.45,6753.99,Fiber optic,Electronic check,1,1,Yes,No,Yes,0,2,1
C100193,19,Female,28,Month-to-month,64.99,7349.87,Fiber optic,,5,0,No,Yes,No,0,4,0
C100194,59,Male,25,One year,132.85,7913.06,DSL,Credit card,1,0,No,Yes,No,0,1,0
C100195,62,Male,25,Month-to-month,144.76,8330.87,DSL,Credit card,4,0,No,Yes,No,0,3,0
C100196,74,Male,1,Month-to-month,142.62,4631.52,DSL,Credit card,2,0,No,No,Yes,1,2,0
C100197,70,Male,59,Month-to-month,134.62,5930.32,DSL,Electronic check,0,0,Yes,Yes,No,0,1,1
C100198,23,Female,69,Month-to-month,136.33,185.02,Fiber optic,Electronic check,0,0,Yes,No,Yes,0,2,0
C100199,45,Male,42,Month-to-month,57.57,5197.77,Fiber optic,Electronic check,1,0,No,No,No,1,3,0
C100200,45,Male,34,Month-to-month,39.69,4311.47,Fiber optic,Credit card,2,1,No,No,Yes,0,5,1
C100201,61,Male,66,Two year,103.1,8664.52,DSL,Bank transfer,1,3,Yes,No,No,0,2,0
C100202,61,Female,18,One year,83.45,8125.21,DSL,Electronic check,2,0,Yes,No,Yes,0,3,0
C100203,37,Female,5,Two year,32.84,7198.67,Fiber optic,Electronic check,2,1,No,Yes,No,0,3,0
C100204,47,Female,20,One year,108.08,607.25,Fiber optic,Mailed check,3,0,No,Yes,Yes,1,5,1
C100205,28,Male,66,Month-to-month,93.17,3678.06,No,Bank transfer,1,0,No,Yes,No,0,2,0
C100206,75,Female,62,Month-to-month,132.2,6294.78,No,Electronic check,2,1,No,Yes,Yes,0,2,0
C100207,72,Male,32,Month-to-month,99.19,363.98,No,Electronic check,2,0,Yes,Yes,Yes,0,3,0
C100208,45,Male,58,Month-to-month,94.61,2198.74,Fiber optic,Mailed check,2,3,No,Yes,No,0,2,0
C100209,42,Male,50,One year,77.3,7998.81,Fiber optic,Credit card,1,0,Yes,Yes,Yes,0,5,0
C100210,56,Female,38,Month-to-month,80.16,1255.05,DSL,Bank transfer,3,1,No,No,No,0,2,0
C100211,50,Female,55,Month-to-month,144.07,557.22,DSL,Bank transfer,2,1,No,No,No,0,2,0
C100212,18,Male,28,Month-to-month,38.0,5267.21,DSL,Mailed check,3,0,Yes,No,No,0,4,0
C100213,74,Male,22,Month-to-month,78.01,8523.54,DSL,Bank transfer,3,2,Yes,No,Yes,0,3,0
C100214,44,Female,43,Month-to-month,105.26,7528.16,DSL,Electronic check,1,4,Yes,No,Yes,0,3,0
C100215,74,Female,36,Month-to-month,76.29,,No,,0,0,Yes,Yes,No,0,4,0
C100216,69,Female,52,One year,56.82,6806.36,Fiber optic,Mailed check,3,0,No,No,Yes,0,2,0
C100217,30,Male,36,Month-to-month,57.36,3992.59,Fiber optic,Credit card,1,2,Yes,No,No,0,2,0
C100218,58,Male,28,One year,50.38,8524.89,No,Mailed check,1,1,No,Yes,Yes,0,5,0
C100219,20,Male,58,Month-to-month,64.71,3897.04,No,Bank transfer,2,1,No,Yes,No,0,1,0
C100220,56,Female,36,Month-to-month,133.32,3215.84,No,Mailed check,1,1,No,Yes,No,0,1,0
C100221,23,Female,70,Two year,85.68,4088.94,Fiber optic,Mailed check,4,2,Yes,No,No,0,3,0
C100222,25,Female,9,One year,51.23,7344.37,Fiber optic,Bank transfer,1,0,No,No,Yes,0,4,0
C100223,44,Male,21,Month-to-month,69.99,8267.47,Fiber optic,,2,1,No,No,No,0,5,1
C100224,26,Male,64,Two year,33.76,3283.37,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,2,0
C100225,54,Female,61,Month-to-month,137.52,4214.0,No,Mailed check,1,0,Yes,No,No,1,4,0
C100226,50,Male,40,Month-to-month,73.07,8095.11,No,Credit card,3,1,No,Yes,No,0,5,0
C100227,68,Female,56,One year,147.45,518.69,Fiber optic,Credit card,3,2,No,No,No,0,2,0
C100228,59,Male,4,One year,65.18,7076.43,Fiber optic,Mailed check,1,1,Yes,Yes,Yes,0,2,1
C100229,61,Female,31,Month-to-month,128.73,4142.54,No,Bank transfer,4,1,Yes,Yes,No,0,1,0
C100230,41,Male,27,Month-to-month,53.33,3451.01,No,Bank transfer,3,2,No,Yes,No,0,2,0
C100231,32,Male,58,Two year,29.9,4077.6,Fiber optic,Mailed check,1,2,No,Yes,Yes,0,3,0
C100232,71,Female,25,Month-to-month,24.13,3826.35,Fiber optic,Bank transfer,3,2,Yes,No,No,0,5,1
C100233,49,Female,69,Month-to-month,98.8,6833.91,Fiber optic,Bank transfer,1,3,Yes,Yes,No,0,3,0
C100234,49,Female,70,Month-to-month,60.5,8358.73,Fiber optic,Credit card,1,1,No,Yes,No,0,4,0
C100235,41,Female,5,Two year,77.66,4473.96,Fiber optic,Electronic check,2,2,Yes,Yes,Yes,0,4,1
C100236,58,Female,8,Month-to-month,126.42,7511.33,DSL,Electronic check,1,3,No,Yes,Yes,0,2,1
C100237,69,Male,9,One year,52.25,6614.31,Fiber optic,Bank transfer,2,0,No,Yes,Yes,0,5,0
C100238,66,Female,15,One year,60.12,3043.06,Fiber optic,Bank transfer,2,0,No,Yes,No,0,2,0
C100239,66,Female,7,Month-to-month,129.89,5327.09,Fiber optic,Mailed check,2,0,Yes,Yes,No,0,3,1
C100240,75,Female,72,One year,84.06,6034.66,DSL,Bank transfer,7,3,No,Yes,Yes,0,1,1
C100241,69,Male,15,Two year,127.6,309.14,DSL,Mailed check,2,3,Yes,Yes,Yes,0,3,1
C100242,29,Female,37,Month-to-month,68.68,3624.0,No,Electronic check,3,0,,No,Yes,0,5,0
C100243,56,Female,39,Month-to-month,71.79,8934.48,DSL,Credit card,0,1,No,No,Yes,0,3,0
C100244,19,Female,6,Two year,41.73,5771.58,DSL,Mailed check,3,2,Yes,Yes,Yes,1,2,0
C100245,20,Male,57,One year,139.12,3074.77,Fiber optic,Credit card,3,2,Yes,No,No,0,1,0
C100246,66,Male,19,Month-to-month,136.58,2325.21,Fiber optic,Electronic check,1,0,Yes,Yes,Yes,0,5,1
C100247,54,Female,63,One year,147.95,1964.39,Fiber optic,Credit card,3,0,Yes,No,No,0,3,0
C100248,66,Male,31,One year,72.32,3674.61,Fiber optic,Electronic check,5,2,Yes,Yes,No,0,5,0
C100249,73,Female,10,One year,126.42,1820.06,Fiber optic,Credit card,4,1,Yes,Yes,Yes,0,1,1
