age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,payment_method,support_calls,late_payments,online_security,tech_support,streaming_service,senior_citizen,family_members,churn
41,Male,70,Month-to-month,35.32,2965.43,DSL,Mailed check,1,2,No,No,No,0,1,0
61,Male,32,Month-to-month,38.55,8117.62,Fiber optic,Bank transfer,5,1,Yes,No,Yes,0,4,0
47,Male,11,Month-to-month,67.95,4120.76,DSL,Mailed check,2,1,No,No,Yes,0,1,0
19,Male,39,Two year,80.74,8544.39,No,Mailed check,4,1,No,No,No,1,1,0
38,Male,31,One year,61.81,8815.57,No,Credit card,2,3,No,No,Yes,0,2,1
50,Female,12,One year,92.96,5987.73,Fiber optic,Credit card,0,0,No,Yes,No,1,2,1
29,Female,38,Two year,53.87,8508.84,No,Bank transfer,1,1,Yes,No,No,0,4,1
75,Female,67,One year,72.15,4919.42,Fiber optic,Bank transfer,1,2,No,Yes,Yes,0,2,1
39,Female,66,Month-to-month,63.24,2834.82,Fiber optic,Electronic check,2,0,Yes,Yes,No,1,4,0
61,Male,52,Month-to-month,124.54,2904.33,DSL,Mailed check,3,2,Yes,Yes,No,0,2,0
42,Female,5,Month-to-month,140.15,5074.57,No,Credit card,3,2,Yes,Yes,Yes,0,2,1
66,Male,11,Month-to-month,118.74,5484.82,DSL,Electronic check,1,2,No,Yes,Yes,0,2,0
44,Male,25,Month-to-month,77.08,4012.59,Fiber optic,Bank transfer,3,3,Yes,Yes,No,0,2,1
59,Female,35,Month-to-month,85.56,7965.57,Fiber optic,Electronic check,5,1,Yes,No,No,0,5,1
45,Male,35,Month-to-month,36.26,3897.6,Fiber optic,Bank transfer,2,0,No,Yes,No,0,4,0
33,Female,22,Month-to-month,117.09,2533.47,DSL,Bank transfer,0,2,Yes,No,No,0,3,0
32,Male,37,Month-to-month,97.54,171.04,Fiber optic,Electronic check,5,1,Yes,Yes,No,0,2,1
64,Female,55,Month-to-month,137.32,8738.07,Fiber optic,Mailed check,0,2,No,No,No,1,5,1
68,Female,72,One year,46.08,7436.39,DSL,Electronic check,3,0,Yes,No,Yes,0,3,0
61,Female,64,Month-to-month,118.76,5578.48,Fiber optic,Bank transfer,2,2,No,No,No,0,3,0
72,Female,20,Two year,109.01,7491.83,No,Credit card,1,0,No,Yes,Yes,0,5,0
69,Female,4,Two year,54.56,7311.57,No,Mailed check,2,1,Yes,Yes,Yes,0,3,1
74,Female,18,One year,106.76,8393.47,Fiber optic,Mailed check,3,1,No,Yes,Yes,1,4,0
20,Male,51,One year,140.17,3536.0,DSL,Credit card,2,2,Yes,Yes,Yes,1,3,0
54,Male,68,Two year,139.4,5038.18,Fiber optic,Mailed check,2,2,No,No,Yes,1,4,0
68,Male,20,Month-to-month,113.55,977.79,Fiber optic,Bank transfer,1,1,Yes,No,Yes,0,3,0
26,Female,25,One year,105.51,7122.85,No,Mailed check,3,1,Yes,Yes,Yes,0,3,0
56,Male,68,Month-to-month,60.36,4141.68,Fiber optic,Credit card,1,0,No,Yes,No,0,2,0
35,Male,41,Month-to-month,44.34,4519.44,Fiber optic,Mailed check,1,1,Yes,No,Yes,0,4,0
21,Female,59,One year,35.11,3974.77,DSL,Bank transfer,1,1,No,Yes,Yes,0,3,0
42,Male,45,One year,26.53,2710.46,Fiber optic,Mailed check,0,2,Yes,Yes,Yes,0,2,0
31,Male,41,One year,118.03,4797.34,No,Mailed check,2,1,Yes,No,Yes,0,5,0
67,Male,38,Month-to-month,50.66,575.66,Fiber optic,Bank transfer,2,0,Yes,No,Yes,0,5,0
75,Female,19,Month-to-month,23.15,8927.79,Fiber optic,Mailed check,0,2,No,Yes,Yes,0,4,0
26,Male,14,Month-to-month,71.65,3874.05,DSL,Bank transfer,0,2,Yes,No,No,0,3,0
43,Female,21,Month-to-month,82.74,8353.56,DSL,Credit card,0,0,Yes,No,No,0,3,1
70,Male,15,Month-to-month,42.0,6546.02,Fiber optic,Mailed check,3,2,Yes,Yes,No,0,4,1
19,Male,3,Month-to-month,25.73,2680.49,No,Credit card,3,0,No,Yes,Yes,0,1,0
37,Male,37,Month-to-month,44.59,2076.27,DSL,Electronic check,1,0,Yes,No,No,0,1,0
45,Male,46,Month-to-month,108.28,8961.51,DSL,Mailed check,3,0,No,Yes,No,0,5,0
64,Female,16,Month-to-month,30.69,6971.92,Fiber optic,Electronic check,0,1,No,Yes,Yes,1,5,1
24,Male,14,Two year,92.15,2321.99,DSL,Credit card,5,0,Yes,Yes,No,0,2,1
25,Female,7,One year,45.44,6302.56,DSL,Bank transfer,1,1,No,No,Yes,0,4,0
64,Male,14,Month-to-month,71.1,2796.85,Fiber optic,Electronic check,3,3,No,Yes,Yes,0,4,1
52,Male,6,One year,33.11,2069.84,Fiber optic,Electronic check,2,0,No,Yes,No,0,1,0
31,Female,15,Month-to-month,42.52,6640.94,No,Bank transfer,1,1,Yes,Yes,Yes,0,4,0
34,Female,52,Two year,65.36,6145.43,Fiber optic,Electronic check,2,3,Yes,No,Yes,0,3,0
53,Male,72,One year,62.86,4384.57,Fiber optic,Credit card,2,1,No,No,No,0,5,0
67,Male,34,One year,117.41,8489.64,DSL,Credit card,2,0,Yes,Yes,No,1,5,0
57,Male,1,Two year,29.72,6148.78,Fiber optic,Credit card,1,1,Yes,Yes,No,0,1,0
21,Male,69,Month-to-month,131.86,8051.43,Fiber optic,Credit card,4,0,Yes,No,No,0,2,0
19,Male,20,Month-to-month,126.11,1795.92,DSL,Mailed check,3,2,No,No,No,1,3,1
23,Female,7,One year,119.58,2740.15,Fiber optic,Bank transfer,1,2,No,No,No,0,1,0
71,Male,7,Month-to-month,60.22,1030.23,DSL,Mailed check,2,0,Yes,No,Yes,0,2,0
59,Male,50,Month-to-month,126.97,2810.76,Fiber optic,Mailed check,3,0,No,Yes,Yes,1,5,1
21,Female,2,One year,43.76,8748.83,Fiber optic,Electronic check,2,1,No,Yes,No,0,1,1
71,Male,47,Month-to-month,36.17,8669.42,Fiber optic,Bank transfer,3,2,No,Yes,No,1,5,0
46,Male,14,One year,25.84,6867.44,No,Mailed check,2,1,No,Yes,Yes,0,5,0
35,Female,31,Two year,142.11,4737.33,No,Mailed check,1,1,No,No,No,1,2,0
43,Male,50,Month-to-month,60.04,7048.94,Fiber optic,Bank transfer,1,1,No,Yes,No,0,1,0
61,Female,61,Month-to-month,139.29,5026.03,No,Credit card,1,0,Yes,No,No,0,5,0
51,Male,41,Month-to-month,55.44,131.23,DSL,Bank transfer,1,1,No,Yes,No,0,5,0
27,Male,14,Month-to-month,137.98,4563.77,Fiber optic,Bank transfer,1,1,No,Yes,No,0,1,1
53,Male,5,Month-to-month,137.51,5430.42,DSL,Bank transfer,2,0,No,No,No,0,5,1
31,Female,5,Month-to-month,140.08,2465.16,DSL,Credit card,3,1,No,No,No,0,2,0
48,Female,64,Month-to-month,84.5,1909.31,Fiber optic,Bank transfer,3,0,Yes,No,Yes,0,5,0
65,Female,29,Month-to-month,132.57,2536.9,No,Credit card,5,0,No,No,No,0,2,0
32,Female,5,One year,143.6,5650.29,Fiber optic,Mailed check,1,0,Yes,Yes,Yes,0,4,0
25,Male,36,Two year,62.2,1399.97,Fiber optic,Mailed check,3,1,Yes,No,No,1,5,0
31,Female,19,One year,74.45,6510.92,Fiber optic,Credit card,2,2,Yes,No,Yes,0,4,0
40,Female,64,Month-to-month,113.5,3861.81,Fiber optic,Electronic check,2,2,No,Yes,No,1,1,0
74,Female,22,Month-to-month,59.05,3244.8,Fiber optic,Bank transfer,3,2,Yes,No,Yes,0,4,0
57,Male,34,One year,118.0,7284.36,DSL,Mailed check,0,0,No,No,Yes,0,5,0
38,Male,56,Month-to-month,29.61,4603.96,No,Mailed check,6,0,Yes,Yes,No,0,3,0
33,Female,17,Month-to-month,88.05,3467.76,DSL,Credit card,0,0,Yes,No,No,1,1,0
62,Female,56,Two year,35.9,7915.58,No,Electronic check,0,1,No,No,No,0,1,0
35,Male,17,Month-to-month,58.13,3377.44,DSL,Electronic check,2,4,No,Yes,No,0,3,1
64,Female,18,Month-to-month,53.62,7745.1,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,3,1
70,Female,45,Two year,129.06,4587.37,No,Credit card,4,2,Yes,Yes,Yes,0,2,0
41,Female,56,Two year,45.16,1951.26,Fiber optic,Credit card,3,0,No,No,No,0,3,0
43,Female,50,Month-to-month,125.1,5554.08,Fiber optic,Bank transfer,1,0,Yes,Yes,Yes,0,4,1
42,Male,58,Month-to-month,123.21,2639.38,Fiber optic,Mailed check,3,2,Yes,Yes,Yes,0,3,0
62,Male,18,One year,84.85,1409.68,DSL,Mailed check,2,1,No,No,No,0,4,0
58,Male,7,One year,50.4,870.11,DSL,Credit card,1,2,No,No,Yes,0,5,0
46,Female,10,Month-to-month,49.5,2251.11,DSL,Mailed check,2,2,Yes,No,No,0,1,1
62,Male,3,Two year,21.15,7558.19,No,Credit card,2,0,No,Yes,No,0,2,0
18,Male,44,Month-to-month,89.08,7769.32,No,Mailed check,1,0,No,No,No,0,1,1
42,Male,70,Two year,143.86,2504.32,DSL,Electronic check,1,1,Yes,Yes,Yes,0,1,0
24,Female,14,Two year,40.11,5982.66,Fiber optic,Credit card,3,3,Yes,No,Yes,0,3,0
26,Male,4,Month-to-month,94.53,2150.15,DSL,Mailed check,5,2,No,Yes,No,0,1,1
61,Male,38,One year,130.55,463.95,DSL,Bank transfer,4,1,No,No,No,0,4,0
25,Male,20,One year,126.84,8868.51,DSL,Electronic check,2,1,No,No,Yes,0,4,0
41,Female,44,Month-to-month,60.17,7461.08,Fiber optic,Electronic check,3,0,No,Yes,No,1,5,0
28,Male,51,One year,135.78,6878.79,No,Electronic check,0,1,Yes,Yes,No,0,3,0
68,Male,19,Two year,142.37,6253.13,Fiber optic,Bank transfer,2,1,No,No,No,0,5,1
34,Female,68,Month-to-month,84.45,6955.44,DSL,Mailed check,1,2,No,Yes,No,0,3,0
25,Female,66,Month-to-month,66.09,8951.9,Fiber optic,Credit card,0,0,No,Yes,No,0,5,1
52,Female,13,Month-to-month,73.85,6954.7,Fiber optic,Credit card,0,0,Yes,No,Yes,0,2,0
52,Female,62,One year,63.45,3229.25,Fiber optic,Bank transfer,1,1,Yes,No,Yes,0,2,0
50,Female,61,Two year,47.61,5563.9,No,Bank transfer,1,4,No,No,No,0,4,0
22,Male,30,Two year,100.4,3098.61,No,Bank transfer,2,0,No,No,No,1,2,0
59,Female,30,Month-to-month,93.14,8733.58,No,Bank transfer,4,0,Yes,No,No,0,4,0
56,Female,51,Month-to-month,80.14,8111.24,Fiber optic,Credit card,3,1,No,Yes,No,1,2,0
75,Female,48,Month-to-month,32.46,5151.82,Fiber optic,Electronic check,1,0,Yes,Yes,No,0,1,0
58,Male,33,Month-to-month,123.6,7053.34,Fiber optic,Credit card,3,0,Yes,Yes,Yes,0,5,0
45,Female,19,Month-to-month,42.74,8196.21,Fiber optic,Bank transfer,1,4,No,No,No,0,2,1
24,Female,71,Month-to-month,34.89,2268.04,DSL,Electronic check,0,1,Yes,No,Yes,0,3,0
26,Female,57,Month-to-month,101.0,5257.39,Fiber optic,Credit card,3,1,No,Yes,Yes,0,5,1
25,Male,19,Two year,71.82,4387.28,DSL,Bank transfer,2,5,No,No,No,0,5,0
29,Female,41,One year,27.78,6967.16,No,Bank transfer,3,2,Yes,No,Yes,0,5,0
51,Female,42,One year,66.22,3473.83,DSL,Mailed check,5,1,No,Yes,No,0,1,0
50,Female,52,Month-to-month,120.33,6409.92,Fiber optic,Mailed check,3,1,Yes,No,No,0,5,1
65,Male,4,Two year,99.98,3686.64,Fiber optic,Bank transfer,3,0,Yes,No,Yes,0,4,1
41,Male,41,Month-to-month,102.13,1159.6,Fiber optic,Credit card,2,2,No,No,Yes,0,3,0
54,Female,61,Month-to-month,135.38,389.43,DSL,Credit card,3,1,No,Yes,No,0,2,1
52,Female,55,Month-to-month,104.02,4843.46,Fiber optic,Mailed check,2,0,No,No,No,0,1,0
61,Male,13,Month-to-month,125.68,6079.93,DSL,Bank transfer,1,2,No,Yes,No,1,3,0
57,Male,14,One year,87.8,1227.88,Fiber optic,Mailed check,2,3,Yes,No,No,0,4,0
39,Female,60,Two year,113.34,5545.54,Fiber optic,Credit card,1,0,No,No,No,0,5,0
44,Female,72,Month-to-month,136.51,5419.89,Fiber optic,Electronic check,2,0,Yes,No,No,0,1,0
52,Male,25,Month-to-month,120.51,1409.14,DSL,Mailed check,3,0,Yes,Yes,No,0,2,0
18,Male,44,One year,138.28,3696.34,Fiber optic,Electronic check,6,1,No,No,No,0,5,1
52,Male,10,Month-to-month,76.05,6820.71,No,Bank transfer,1,0,Yes,No,No,0,2,0
54,Male,71,One year,137.55,249.13,Fiber optic,Mailed check,3,0,Yes,Yes,Yes,0,2,0
64,Female,50,One year,100.8,1407.84,DSL,Electronic check,3,0,Yes,No,Yes,1,4,0
31,Male,44,Month-to-month,133.11,8962.87,DSL,Bank transfer,5,0,Yes,No,No,0,5,0
20,Male,14,Two year,25.12,6628.55,Fiber optic,Credit card,4,3,No,Yes,No,0,4,0
18,Female,15,Month-to-month,105.52,4230.76,DSL,Bank transfer,0,4,Yes,Yes,No,0,1,0
43,Female,2,One year,42.65,7631.37,Fiber optic,Credit card,4,0,Yes,Yes,No,0,3,0
72,Female,30,Two year,106.03,7596.51,DSL,Bank transfer,3,0,Yes,Yes,Yes,0,4,0
31,Female,30,Month-to-month,127.24,2989.84,Fiber optic,Mailed check,7,1,No,Yes,No,0,4,1
56,Male,31,Month-to-month,57.43,4472.49,Fiber optic,Bank transfer,0,1,No,No,No,0,5,0
44,Male,20,Month-to-month,72.68,5778.69,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,1,1
26,Male,49,Month-to-month,94.04,739.88,DSL,Bank transfer,0,1,Yes,Yes,No,1,3,1
32,Female,35,Two year,87.49,8517.59,Fiber optic,Electronic check,0,2,No,Yes,Yes,0,1,0
43,Female,61,Two year,32.83,3400.67,Fiber optic,Mailed check,1,3,Yes,Yes,No,1,3,0
59,Male,55,Month-to-month,33.06,8173.19,No,Credit card,5,4,Yes,Yes,No,0,2,0
30,Male,67,Month-to-month,54.09,1152.75,No,Credit card,4,0,No,No,Yes,0,1,0
68,Female,8,Two year,51.96,449.42,Fiber optic,Electronic check,3,1,Yes,Yes,No,0,4,0
49,Female,40,Month-to-month,116.49,6196.52,Fiber optic,Bank transfer,1,0,No,Yes,No,1,4,1
56,Male,59,One year,94.46,3526.53,No,Bank transfer,1,1,No,Yes,No,1,3,0
66,Male,32,Month-to-month,119.32,6903.83,DSL,Mailed check,2,3,Yes,No,Yes,1,4,1
21,Male,6,One year,62.09,2194.39,No,Electronic check,1,0,Yes,Yes,Yes,0,5,0
47,Female,36,Month-to-month,130.49,6682.5,Fiber optic,Mailed check,1,2,Yes,No,No,0,1,1
56,Female,42,Two year,26.04,7388.01,Fiber optic,Mailed check,2,0,No,No,Yes,0,2,0
62,Male,53,Month-to-month,113.71,8246.98,DSL,Electronic check,4,1,Yes,Yes,Yes,0,5,0
32,Male,9,Month-to-month,90.2,6531.19,Fiber optic,Electronic check,1,0,Yes,Yes,No,1,3,0
60,Female,49,Month-to-month,127.25,3920.13,Fiber optic,Credit card,2,0,Yes,Yes,No,0,1,0
46,Male,2,Month-to-month,85.93,5190.67,Fiber optic,Mailed check,3,0,Yes,Yes,Yes,0,5,0
53,Female,67,One year,90.23,6238.24,Fiber optic,Credit card,5,1,No,Yes,Yes,0,3,1
30,Male,11,Month-to-month,26.73,7886.9,Fiber optic,Bank transfer,3,2,No,No,No,0,2,0
49,Male,50,Month-to-month,106.91,8008.31,No,Mailed check,2,1,No,Yes,Yes,0,5,0
24,Male,35,One year,55.51,8385.63,Fiber optic,Bank transfer,2,0,No,Yes,No,0,1,0
39,Female,31,One year,28.64,1406.5,Fiber optic,Credit card,1,2,No,Yes,Yes,1,4,0
45,Female,62,Two year,144.45,6753.99,Fiber optic,Electronic check,1,1,Yes,No,Yes,0,2,1
59,Male,25,One year,132.85,7913.06,DSL,Credit card,1,0,No,Yes,No,0,1,0
62,Male,25,Month-to-month,144.76,8330.87,DSL,Credit card,4,0,No,Yes,No,0,3,0
74,Male,1,Month-to-month,142.62,4631.52,DSL,Credit card,2,0,No,No,Yes,1,2,0
70,Male,59,Month-to-month,134.62,5930.32,DSL,Electronic check,0,0,Yes,Yes,No,0,1,1
23,Female,69,Month-to-month,136.33,185.02,Fiber optic,Electronic check,0,0,Yes,No,Yes,0,2,0
45,Male,42,Month-to-month,57.57,5197.77,Fiber optic,Electronic check,1,0,No,No,No,1,3,0
45,Male,34,Month-to-month,39.69,4311.47,Fiber optic,Credit card,2,1,No,No,Yes,0,5,1
61,Male,66,Two year,103.1,8664.52,DSL,Bank transfer,1,3,Yes,No,No,0,2,0
61,Female,18,One year,83.45,8125.21,DSL,Electronic check,2,0,Yes,No,Yes,0,3,0
37,Female,5,Two year,32.84,7198.67,Fiber optic,Electronic check,2,1,No,Yes,No,0,3,0
47,Female,20,One year,108.08,607.25,Fiber optic,Mailed check,3,0,No,Yes,Yes,1,5,1
28,Male,66,Month-to-month,93.17,3678.06,No,Bank transfer,1,0,No,Yes,No,0,2,0
75,Female,62,Month-to-month,132.2,6294.78,No,Electronic check,2,1,No,Yes,Yes,0,2,0
72,Male,32,Month-to-month,99.19,363.98,No,Electronic check,2,0,Yes,Yes,Yes,0,3,0
45,Male,58,Month-to-month,94.61,2198.74,Fiber optic,Mailed check,2,3,No,Yes,No,0,2,0
42,Male,50,One year,77.3,7998.81,Fiber optic,Credit card,1,0,Yes,Yes,Yes,0,5,0
56,Female,38,Month-to-month,80.16,1255.05,DSL,Bank transfer,3,1,No,No,No,0,2,0
50,Female,55,Month-to-month,144.07,557.22,DSL,Bank transfer,2,1,No,No,No,0,2,0
18,Male,28,Month-to-month,38.0,5267.21,DSL,Mailed check,3,0,Yes,No,No,0,4,0
74,Male,22,Month-to-month,78.01,8523.54,DSL,Bank transfer,3,2,Yes,No,Yes,0,3,0
44,Female,43,Month-to-month,105.26,7528.16,DSL,Electronic check,1,4,Yes,No,Yes,0,3,0
69,Female,52,One year,56.82,6806.36,Fiber optic,Mailed check,3,0,No,No,Yes,0,2,0
30,Male,36,Month-to-month,57.36,3992.59,Fiber optic,Credit card,1,2,Yes,No,No,0,2,0
58,Male,28,One year,50.38,8524.89,No,Mailed check,1,1,No,Yes,Yes,0,5,0
20,Male,58,Month-to-month,64.71,3897.04,No,Bank transfer,2,1,No,Yes,No,0,1,0
56,Female,36,Month-to-month,133.32,3215.84,No,Mailed check,1,1,No,Yes,No,0,1,0
23,Female,70,Two year,85.68,4088.94,Fiber optic,Mailed check,4,2,Yes,No,No,0,3,0
25,Female,9,One year,51.23,7344.37,Fiber optic,Bank transfer,1,0,No,No,Yes,0,4,0
26,Male,64,Two year,33.76,3283.37,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,2,0
54,Female,61,Month-to-month,137.52,4214.0,No,Mailed check,1,0,Yes,No,No,1,4,0
50,Male,40,Month-to-month,73.07,8095.11,No,Credit card,3,1,No,Yes,No,0,5,0
68,Female,56,One year,147.45,518.69,Fiber optic,Credit card,3,2,No,No,No,0,2,0
59,Male,4,One year,65.18,7076.43,Fiber optic,Mailed check,1,1,Yes,Yes,Yes,0,2,1
61,Female,31,Month-to-month,128.73,4142.54,No,Bank transfer,4,1,Yes,Yes,No,0,1,0
41,Male,27,Month-to-month,53.33,3451.01,No,Bank transfer,3,2,No,Yes,No,0,2,0
32,Male,58,Two year,29.9,4077.6,Fiber optic,Mailed check,1,2,No,Yes,Yes,0,3,0
71,Female,25,Month-to-month,24.13,3826.35,Fiber optic,Bank transfer,3,2,Yes,No,No,0,5,1
49,Female,69,Month-to-month,98.8,6833.91,Fiber optic,Bank transfer,1,3,Yes,Yes,No,0,3,0
49,Female,70,Month-to-month,60.5,8358.73,Fiber optic,Credit card,1,1,No,Yes,No,0,4,0
41,Female,5,Two year,77.66,4473.96,Fiber optic,Electronic check,2,2,Yes,Yes,Yes,0,4,1
58,Female,8,Month-to-month,126.42,7511.33,DSL,Electronic check,1,3,No,Yes,Yes,0,2,1
69,Male,9,One year,52.25,6614.31,Fiber optic,Bank transfer,2,0,No,Yes,Yes,0,5,0
66,Female,15,One year,60.12,3043.06,Fiber optic,Bank transfer,2,0,No,Yes,No,0,2,0
66,Female,7,Month-to-month,129.89,5327.09,Fiber optic,Mailed check,2,0,Yes,Yes,No,0,3,1
75,Female,72,One year,84.06,6034.66,DSL,Bank transfer,7,3,No,Yes,Yes,0,1,1
69,Male,15,Two year,127.6,309.14,DSL,Mailed check,2,3,Yes,Yes,Yes,0,3,1
56,Female,39,Month-to-month,71.79,8934.48,DSL,Credit card,0,1,No,No,Yes,0,3,0
19,Female,6,Two year,41.73,5771.58,DSL,Mailed check,3,2,Yes,Yes,Yes,1,2,0
20,Male,57,One year,139.12,3074.77,Fiber optic,Credit card,3,2,Yes,No,No,0,1,0
66,Male,19,Month-to-month,136.58,2325.21,Fiber optic,Electronic check,1,0,Yes,Yes,Yes,0,5,1
54,Female,63,One year,147.95,1964.39,Fiber optic,Credit card,3,0,Yes,No,No,0,3,0
66,Male,31,One year,72.32,3674.61,Fiber optic,Electronic check,5,2,Yes,Yes,No,0,5,0
73,Female,10,One year,126.42,1820.06,Fiber optic,Credit card,4,1,Yes,Yes,Yes,0,1,1
34,Male,67,Two year,73.94,1303.16,Fiber optic,Credit card,0,1,No,No,Yes,1,2,0
66,Female,62,Month-to-month,79.06,3340.16,No,Bank transfer,0,1,Yes,No,Yes,0,4,0
19,Male,3,Month-to-month,127.9,5502.3,DSL,Electronic check,1,0,No,No,Yes,1,1,1
45,Female,25,Month-to-month,48.64,494.66,No,Electronic check,5,4,No,Yes,No,0,1,1
71,Male,20,One year,60.91,408.23,Fiber optic,Bank transfer,1,1,No,Yes,Yes,0,4,0
40,Female,58,Month-to-month,122.46,2479.72,Fiber optic,Mailed check,1,1,Yes,No,Yes,0,4,0
54,Female,50,Month-to-month,68.44,1792.18,DSL,Bank transfer,3,0,Yes,No,No,0,5,0
49,Female,10,Month-to-month,66.56,4899.37,Fiber optic,Electronic check,0,1,Yes,Yes,No,0,2,0
50,Female,21,One year,149.85,4155.91,DSL,Electronic check,3,1,No,Yes,Yes,1,1,0
18,Male,29,One year,69.89,2990.42,DSL,Bank transfer,1,1,Yes,No,No,0,4,0
19,Male,13,Month-to-month,101.02,4594.03,No,Electronic check,1,0,Yes,Yes,No,0,4,1
61,Male,23,One year,29.05,2732.3,DSL,Electronic check,0,2,No,No,No,0,3,0
43,Male,50,Month-to-month,100.46,8762.72,DSL,Bank transfer,2,0,No,No,No,0,2,0
49,Female,4,One year,24.65,8795.1,Fiber optic,Electronic check,2,0,Yes,No,Yes,0,4,1
23,Female,67,Month-to-month,88.42,2366.58,Fiber optic,Electronic check,3,1,No,Yes,No,0,1,1
49,Male,53,Month-to-month,53.41,1588.4,Fiber optic,Credit card,1,0,No,No,No,0,5,0
72,Female,2,One year,59.86,4511.62,Fiber optic,Mailed check,2,0,No,No,No,0,5,0
21,Male,68,Month-to-month,80.72,4385.04,DSL,Electronic check,4,2,No,Yes,No,0,1,0
72,Female,65,Month-to-month,140.52,3750.23,Fiber optic,Mailed check,3,1,No,Yes,No,0,3,0
28,Female,57,Month-to-month,112.39,4811.28,DSL,Bank transfer,2,1,No,Yes,No,0,5,0
73,Female,70,Month-to-month,141.79,2166.54,DSL,Credit card,0,1,No,No,Yes,0,5,0
34,Male,7,Month-to-month,105.8,1122.87,DSL,Bank transfer,4,1,No,Yes,Yes,0,2,1
55,Male,19,Month-to-month,20.92,5177.11,DSL,Mailed check,3,2,No,Yes,Yes,0,1,0
41,Female,44,One year,54.53,8400.12,Fiber optic,Bank transfer,2,1,Yes,No,Yes,0,5,0
22,Male,63,One year,137.75,1325.97,DSL,Bank transfer,0,2,Yes,Yes,No,0,1,1
69,Male,65,One year,103.65,6372.85,DSL,Bank transfer,2,0,No,Yes,Yes,0,3,0
51,Female,39,Month-to-month,147.61,3997.28,DSL,Mailed check,0,0,Yes,Yes,No,0,2,0
23,Male,26,One year,40.28,2716.39,DSL,Electronic check,0,5,No,No,No,0,5,1
39,Female,44,One year,58.58,7692.67,DSL,Bank transfer,2,1,Yes,Yes,Yes,1,4,0
28,Female,12,Month-to-month,67.11,4162.78,DSL,Mailed check,2,1,Yes,No,No,0,3,1
65,Female,22,One year,62.45,5291.48,No,Credit card,2,0,No,No,Yes,0,4,0
33,Male,14,Two year,52.76,4043.2,Fiber optic,Credit card,0,0,No,No,Yes,0,3,0
50,Female,30,Month-to-month,77.65,823.12,Fiber optic,Mailed check,2,1,Yes,No,Yes,0,1,0
26,Female,44,Two year,103.5,5394.65,Fiber optic,Bank transfer,1,1,Yes,No,No,1,1,0
23,Male,38,Month-to-month,60.46,3827.68,Fiber optic,Electronic check,0,2,No,No,Yes,0,1,0
33,Male,59,Month-to-month,30.36,872.13,Fiber optic,Credit card,2,1,No,Yes,No,0,4,0
46,Male,42,Month-to-month,112.11,5402.72,Fiber optic,Electronic check,1,2,No,Yes,No,0,2,1
20,Male,52,One year,79.67,187.85,Fiber optic,Mailed check,4,0,Yes,No,Yes,0,5,1
37,Female,63,Month-to-month,92.34,1955.83,No,Credit card,1,2,No,No,Yes,0,2,0
36,Male,34,Two year,135.75,437.55,DSL,Credit card,0,0,Yes,Yes,Yes,0,5,0
43,Male,39,One year,92.64,5855.47,DSL,Bank transfer,2,1,No,Yes,Yes,0,1,1
